Date,Open,High,Low,Close,Volume
2024-04-08,6397.75,6397.75,6280.0,6307.75,491584.0
2024-04-09,6347.7998046875,6540.0,6330.9501953125,6505.0498046875,592624.0
2024-04-10,6505.0498046875,6515.89990234375,6451.0,6489.85009765625,174947.0
2024-04-12,6450.0,6477.89990234375,6362.7001953125,6406.5498046875,450885.0
2024-04-15,6325.10009765625,6399.10009765625,6283.0,6303.14990234375,251305.0
2024-04-16,6299.9501953125,6347.60009765625,6202.0,6334.75,290190.0
2024-04-18,6306.10009765625,6334.39990234375,6053.2001953125,6074.14990234375,518459.0
2024-04-19,6140.0,6199.0,6050.0,6169.5498046875,560178.0
2024-04-22,6154.5,6258.0,6150.0,6238.5498046875,197001.0
2024-04-23,6241.5,6303.7998046875,6181.0,6194.89990234375,217146.0
2024-04-24,6229.89990234375,6310.5,6186.14990234375,6283.35009765625,207837.0
2024-04-25,6280.0,6402.2001953125,6168.85009765625,6384.10009765625,520353.0
2024-04-26,6380.0,6380.0,6251.0498046875,6258.60009765625,261065.0
2024-04-29,6200.0,6200.0,5733.0,5968.35009765625,2785015.0
2024-04-30,6000.0,6023.0,5901.0,5947.10009765625,1040838.0
2024-05-02,5947.10009765625,6000.0,5939.4501953125,5958.5498046875,572406.0
2024-05-03,6000.0,6027.7001953125,5960.0498046875,6009.60009765625,563849.0
2024-05-06,6050.0,6086.14990234375,5986.2001953125,6056.7001953125,419144.0
2024-05-07,6080.0,6080.0,5856.39990234375,5900.25,455928.0
2024-05-08,5892.0,5910.0,5812.64990234375,5846.5,511587.0
2024-05-09,5859.89990234375,5892.0,5790.0,5806.39990234375,598157.0
2024-05-10,5819.9501953125,5881.0,5753.25,5842.4501953125,372227.0
2024-05-13,5820.0,5842.39990234375,5790.2001953125,5830.14990234375,348407.0
2024-05-14,5855.0,5894.64990234375,5740.0,5862.7998046875,558136.0
2024-05-15,5869.9501953125,5883.4501953125,5820.0,5848.7998046875,509306.0
2024-05-16,5890.0,5944.5,5850.0,5931.7001953125,378026.0
2024-05-17,5925.0,5973.0,5910.10009765625,5953.0498046875,267904.0
2024-05-21,6000.0,6041.89990234375,5920.39990234375,5948.25,606639.0
2024-05-22,5958.60009765625,5958.60009765625,5844.9501953125,5868.14990234375,735701.0
2024-05-23,5878.4501953125,5991.4501953125,5860.60009765625,5970.0498046875,308200.0
2024-05-24,5938.2998046875,5971.85009765625,5867.0,5914.35009765625,608807.0
2024-05-27,5950.0,5959.5,5918.0,5939.2998046875,189637.0
2024-05-28,5944.14990234375,5971.4501953125,5880.2998046875,5904.5,314362.0
2024-05-29,5909.89990234375,5945.0,5880.89990234375,5903.4501953125,337183.0
2024-05-30,5900.0,5901.75,5750.0,5766.4501953125,643549.0
2024-05-31,5855.9501953125,5959.35009765625,5743.0,5839.2001953125,1382132.0
2024-06-03,5986.2998046875,6018.14990234375,5812.5498046875,5851.2001953125,804820.0
2024-06-04,5750.35009765625,5963.75,5693.2001953125,5845.7001953125,642000.0
2024-06-05,5915.0,5944.75,5776.7998046875,5934.64990234375,487289.0
2024-06-06,5970.0,5975.0,5900.0,5962.0,490549.0
2024-06-07,5987.75,6031.0,5965.4501953125,6014.5498046875,436163.0
2024-06-10,6040.0,6075.0,5992.0498046875,6056.7001953125,443756.0
2024-06-11,6081.75,6167.25,6059.2001953125,6107.9501953125,521348.0
2024-06-12,6117.2998046875,6188.85009765625,6075.0,6168.60009765625,321285.0
2024-06-13,6207.9501953125,6210.5498046875,6160.0,6206.2001953125,401804.0
2024-06-14,6210.0,6219.9501953125,6175.0,6207.60009765625,216573.0
2024-06-18,6225.0,6249.7998046875,6166.2001953125,6236.35009765625,267887.0
2024-06-19,6265.0,6269.0,6128.0498046875,6173.5498046875,401714.0
2024-06-20,6165.7001953125,6193.7001953125,6115.75,6175.85009765625,252844.0
2024-06-21,6152.2001953125,6239.10009765625,6145.0,6170.0,434583.0
2024-06-24,6170.0,6295.0,6156.14990234375,6259.5498046875,357273.0
2024-06-25,6258.0,6315.0,6242.25,6295.35009765625,348730.0
2024-06-26,6279.7998046875,6285.64990234375,6125.0,6136.7998046875,538411.0
2024-06-27,6115.75,6200.39990234375,6055.0,6192.5,440975.0
2024-06-28,6222.5,6222.5,6145.14990234375,6185.7001953125,334692.0
2024-07-01,6180.0,6180.0,6108.4501953125,6140.5,374933.0
2024-07-02,6134.75,6163.75,6077.0,6097.60009765625,436037.0
2024-07-03,6132.25,6217.75,6079.0498046875,6192.7001953125,188203.0
2024-07-04,6200.9501953125,6244.0,6161.0,6225.0498046875,222050.0
2024-07-05,6201.0,6342.85009765625,6159.0,6328.5498046875,350300.0
2024-07-08,6380.0,6387.9501953125,6292.7998046875,6317.4501953125,317731.0
2024-07-09,6309.2998046875,6350.39990234375,6255.89990234375,6320.2998046875,176239.0
2024-07-10,6320.2998046875,6417.0,6301.14990234375,6375.7001953125,295890.0
2024-07-11,6395.89990234375,6411.64990234375,6340.0,6389.0498046875,354777.0
2024-07-12,6385.2001953125,6419.9501953125,6320.0,6353.89990234375,211028.0
2024-07-15,6340.5,6466.7001953125,6340.5,6437.25,359221.0
2024-07-16,6437.25,6464.0,6403.0,6453.7001953125,298376.0
2024-07-18,6432.0,6539.7001953125,6430.0,6520.85009765625,583444.0
2024-07-19,6525.25,6525.25,6365.0,6381.9501953125,228785.0
2024-07-22,6381.9501953125,6434.0,6370.14990234375,6402.14990234375,222285.0
2024-07-23,6404.0,6474.39990234375,6324.7998046875,6403.60009765625,284679.0
2024-07-24,6400.0,6443.9501953125,6350.0498046875,6422.60009765625,309594.0
2024-07-25,6404.7998046875,6434.14990234375,6372.0,6385.7998046875,412373.0
2024-07-26,6433.0,6679.9501953125,6393.5498046875,6664.5498046875,432671.0
2024-07-29,6777.0,6777.0,6616.39990234375,6681.64990234375,367708.0
