Date,Open,High,Low,Close,Volume
2026-03-04,5520.0,5529.0,5427.5,5500.0,455955.0
2026-03-05,5513.5,5622.5,5480.0,5588.5,545405.0
2026-03-06,5571.0,5571.5,5490.0,5512.5,431008.0
2026-03-09,5447.0,5510.0,5337.5,5480.0,306358.0
2026-03-10,5546.5,5733.5,5527.5,5711.5,493375.0
2026-03-11,5729.5,5766.0,5554.0,5575.0,511965.0
2026-03-12,5589.0,5589.0,5376.0,5394.5,476478.0
2026-03-13,5338.0,5377.5,5168.0,5206.0,496250.0
2026-03-16,5198.5,5329.0,5124.5,5278.5,466610.0
2026-03-17,5276.5,5384.0,5232.0,5355.0,403766.0
2026-03-18,5370.0,5488.0,5365.0,5426.0,390261.0
2026-03-19,5349.0,5366.5,5151.0,5172.5,397483.0
2026-03-20,5218.0,5367.5,5216.0,5275.5,1043098.0
2026-03-23,5191.0,5200.0,5051.0,5065.0,340775.0
2026-03-24,5185.0,5317.0,5124.5,5253.0,435050.0
2026-03-25,5305.0,5364.0,5278.0,5289.5,531702.0
2026-03-27,5212.0,5244.0,5125.5,5143.0,535331.0
2026-03-30,5068.0,5140.0,5037.5,5063.0,704213.0
2026-04-01,5152.0,5244.0,5077.5,5122.0,546972.0
2026-04-02,5076.0,5077.0,4904.0,5011.5,753867.0
2026-04-06,5019.5,5122.5,4985.5,5103.5,348536.0
