Date,Open,High,Low,Close,Volume
2026-03-04,24388.80078125,24602.44921875,24305.400390625,24480.5,599000.0
2026-03-05,24615.94921875,24854.19921875,24529.400390625,24765.900390625,504300.0
2026-03-06,24656.400390625,24700.900390625,24415.75,24450.44921875,433400.0
2026-03-09,23868.05078125,24078.150390625,23697.80078125,24028.05078125,526900.0
2026-03-10,24280.80078125,24303.80078125,24079.94921875,24261.599609375,444300.0
2026-03-11,24231.849609375,24299.0,23834.30078125,23866.849609375,407400.0
2026-03-12,23674.849609375,23833.150390625,23556.30078125,23639.150390625,501000.0
2026-03-13,23462.5,23492.400390625,23112.0,23151.099609375,519800.0
2026-03-16,23116.099609375,23502.0,22955.25,23408.80078125,540300.0
2026-03-17,23493.19921875,23656.80078125,23346.599609375,23581.150390625,458800.0
2026-03-18,23632.900390625,23862.25,23618.44921875,23777.80078125,382900.0
2026-03-19,23197.75,23378.69921875,22930.349609375,23002.150390625,550100.0
2026-03-20,23110.150390625,23345.150390625,23067.599609375,23114.5,663300.0
2026-03-23,22824.349609375,22851.69921875,22471.25,22512.650390625,550300.0
2026-03-24,22878.44921875,23057.30078125,22624.19921875,22912.400390625,538100.0
2026-03-25,23064.400390625,23465.349609375,23063.19921875,23306.44921875,505400.0
2026-03-27,23173.55078125,23186.099609375,22804.55078125,22819.599609375,612600.0
2026-03-30,22549.650390625,22714.099609375,22283.849609375,22331.400390625,698600.0
2026-04-01,22899.0,22941.30078125,22618.599609375,22679.400390625,518000.0
2026-04-02,22383.400390625,22782.30078125,22182.55078125,22713.099609375,495100.0
2026-04-06,22780.30078125,22998.349609375,22542.94921875,22968.25,426400.0
