Date,Open,High,Low,Close,Volume
2026-03-04,2260.699951171875,2290.89990234375,2216.300048828125,2285.199951171875,1610358.0
2026-03-05,2285.199951171875,2313.0,2253.699951171875,2287.800048828125,925040.0
2026-03-06,2261.699951171875,2307.89990234375,2253.699951171875,2279.5,979742.0
2026-03-09,2200.0,2230.0,2162.60009765625,2220.800048828125,2198153.0
2026-03-10,2251.60009765625,2305.10009765625,2251.60009765625,2280.39990234375,1192174.0
2026-03-11,2290.0,2302.0,2226.0,2232.0,687786.0
2026-03-12,2208.0,2249.89990234375,2201.0,2221.199951171875,1384055.0
2026-03-13,2204.699951171875,2219.699951171875,2190.0,2196.800048828125,949233.0
2026-03-16,2185.39990234375,2227.800048828125,2175.10009765625,2217.699951171875,1111587.0
2026-03-17,2217.699951171875,2261.5,2217.199951171875,2238.199951171875,875461.0
2026-03-18,2235.10009765625,2270.39990234375,2228.60009765625,2262.10009765625,844912.0
2026-03-19,2220.0,2239.0,2180.60009765625,2186.0,889334.0
2026-03-20,2210.89990234375,2224.5,2185.0,2195.39990234375,875920.0
2026-03-23,2180.0,2180.0,2115.0,2121.300048828125,978398.0
2026-03-24,2184.0,2224.5,2153.300048828125,2217.300048828125,1561016.0
2026-03-25,2225.10009765625,2289.699951171875,2222.0,2270.199951171875,1270855.0
2026-03-27,2246.300048828125,2269.0,2201.10009765625,2207.39990234375,1089010.0
2026-03-30,2185.300048828125,2202.89990234375,2151.0,2165.199951171875,1513565.0
2026-04-01,2224.800048828125,2246.60009765625,2198.39990234375,2225.800048828125,1209900.0
2026-04-02,2185.0,2185.10009765625,2142.39990234375,2169.0,1854061.0
2026-04-06,2169.0,2193.199951171875,2145.89990234375,2184.300048828125,2048228.0
