Date,Open,High,Low,Close,Volume
2026-03-04,3240.0,3278.10009765625,3207.89990234375,3264.300048828125,4537215.0
2026-03-05,3277.300048828125,3360.60009765625,3276.199951171875,3348.0,2304760.0
2026-03-06,3315.0,3367.0,3315.0,3332.5,2084605.0
2026-03-09,3250.0,3250.0,3142.89990234375,3187.60009765625,3961149.0
2026-03-10,3278.0,3309.39990234375,3228.89990234375,3293.699951171875,2672336.0
2026-03-11,3276.0,3292.89990234375,3156.0,3168.199951171875,4574950.0
2026-03-12,3115.10009765625,3142.800048828125,3020.0,3031.199951171875,6968585.0
2026-03-13,2965.0,3025.0,2922.60009765625,2931.10009765625,7217643.0
2026-03-16,2902.0,3043.699951171875,2896.0,3036.10009765625,5378638.0
2026-03-17,3052.0,3139.300048828125,3024.5,3128.89990234375,3491894.0
2026-03-18,3140.10009765625,3236.199951171875,3140.10009765625,3214.60009765625,3746758.0
2026-03-19,3136.300048828125,3147.89990234375,3032.60009765625,3045.39990234375,3059501.0
2026-03-20,3059.199951171875,3106.60009765625,3043.199951171875,3066.10009765625,4471960.0
2026-03-23,3015.10009765625,3019.699951171875,2935.0,2955.800048828125,3978740.0
2026-03-24,3030.0,3057.300048828125,2965.89990234375,3031.300048828125,3944279.0
2026-03-25,3099.89990234375,3157.89990234375,3082.89990234375,3128.10009765625,3328790.0
2026-03-27,3100.0,3105.199951171875,3030.0,3041.300048828125,3155168.0
2026-03-30,2980.0,3023.699951171875,2945.0,2954.699951171875,5416854.0
2026-04-01,3079.89990234375,3079.89990234375,3010.10009765625,3031.5,3522875.0
2026-04-02,2975.0,3028.800048828125,2928.10009765625,3011.699951171875,3297975.0
2026-04-06,3006.10009765625,3030.0,2961.0,3021.60009765625,2554900.0
